,Time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,0.000144958,1,4,4,0,3,1,83,253,413,310
1,0.011161804,2,2,6,1,3,3,83,252,414,308
2,0.022133827,1,2,5,0,2,2,83,252,415,308
3,0.033205986,2,1,6,2,2,1,83,251,415,309
4,0.044704914,0,1,5,1,2,0,83,251,414,308
5,0.056051969,2,1,6,1,2,0,83,252,414,308
6,0.066974878,1,2,6,1,1,2,83,251,414,309
7,0.077822923,1,1,6,2,2,2,83,252,413,308
8,0.088686943,3,4,6,2,1,0,83,251,415,309
9,0.099571943,1,1,5,2,2,2,83,250,414,308
10,0.110401868,1,1,5,1,2,2,83,252,414,308
11,0.121441841,2,1,5,2,2,1,83,253,415,308
12,0.132392883,0,1,4,2,2,1,83,251,414,308
13,0.143226862,1,1,5,2,2,2,83,251,413,308
14,0.154022932,2,0,6,1,2,0,83,251,413,308
15,0.164873838,2,0,4,1,2,0,83,251,414,308
16,0.175967931,1,2,5,2,2,1,83,253,414,309
17,0.187174797,3,1,5,1,2,1,83,252,414,308
18,0.197973012,1,1,6,2,2,1,83,253,415,308
19,0.208766937,0,2,6,2,2,0,83,253,412,308
20,0.219535827,0,1,4,1,2,0,83,251,413,308
21,0.230318784,0,3,5,1,2,1,83,251,414,308
22,0.241259813,2,1,5,1,3,1,83,253,413,309
23,0.252058982,1,2,5,1,2,1,83,251,414,309
24,0.262844801,1,0,5,1,2,1,83,252,413,309
25,0.273640871,0,1,6,0,4,1,83,251,409,310
26,0.284464836,1,1,5,1,2,2,83,252,414,309
27,0.295471906,1,1,5,2,2,1,83,252,414,309
28,0.306608915,1,1,5,1,2,1,83,251,414,308
29,0.317436933,0,2,4,1,2,1,82,252,413,308
30,0.328242778,0,2,5,2,2,2,82,252,412,309
31,0.339043855,1,2,5,1,2,1,83,253,413,309
32,0.349828958,1,2,3,1,2,2,83,253,414,308
33,0.360616922,0,1,8,0,3,0,83,253,416,311
34,0.371582984,1,2,4,1,2,0,83,253,414,308
35,0.382385015,2,2,5,1,2,1,83,250,413,308
36,0.393227815,0,1,5,1,3,2,83,250,414,308
37,0.404013872,0,1,5,1,2,1,84,252,414,309
38,0.414798975,0,1,6,1,2,1,83,252,413,308
39,0.425794839,0,0,4,2,2,1,83,253,414,308
40,0.436659812,1,2,4,1,2,0,83,253,414,308
41,0.447423935,0,1,7,0,5,0,83,252,412,310
42,0.458200931,1,2,4,0,2,2,82,252,412,308
43,0.469007015,1,1,5,0,2,1,83,253,414,308
44,0.479791879,1,1,5,1,2,0,83,252,413,308
45,0.490592956,1,1,5,1,1,0,83,253,413,308
46,0.501534938,2,1,5,2,2,2,83,252,414,308
47,0.512362957,1,1,5,1,2,1,83,251,412,308
48,0.523161888,0,2,6,0,2,0,83,252,413,308
49,0.533966779,1,1,4,1,2,1,83,253,413,308
50,0.544785976,3,2,6,1,6,0,84,253,408,309
51,0.555770874,1,1,5,1,2,1,83,253,414,308
52,0.566661834,1,1,6,2,2,0,83,252,413,308
53,0.577806949,2,1,6,2,2,0,83,252,413,308
54,0.588620901,2,2,5,1,3,0,84,252,414,308
55,0.599487781,1,1,6,1,3,1,83,252,414,308
56,0.610412836,1,1,5,1,3,0,84,252,414,308
57,0.621445894,2,2,6,0,2,1,82,251,414,308
58,0.6322968,1,0,5,0,0,2,82,255,415,310
59,0.643138885,1,1,5,1,1,1,83,250,415,308
60,0.653911829,1,2,5,2,2,0,83,252,415,308
61,0.664694786,1,2,4,1,2,1,83,253,414,308
62,0.67572689,0,2,5,1,2,1,83,251,415,308
63,0.686561822,0,1,5,1,2,2,83,251,414,308
64,0.697341919,2,1,6,1,2,1,83,250,413,308
65,0.708125829,1,0,5,2,2,1,83,251,413,308
66,0.718904972,2,5,5,4,1,0,83,250,415,308
67,0.729697942,2,1,5,1,1,0,84,252,413,308
68,0.740503788,3,2,5,1,2,1,84,252,414,308
69,0.751423835,2,1,5,1,2,2,83,251,415,308
70,0.762219905,3,1,5,0,2,0,83,251,414,308
71,0.773005008,2,2,4,0,2,0,83,251,414,309
72,0.783793926,1,2,5,1,2,1,83,252,414,308
73,0.794636964,2,1,5,1,2,1,84,253,413,308
74,0.805652856,1,1,6,2,1,1,83,253,413,308
75,0.816593885,1,1,5,1,1,2,84,254,413,308
76,0.827415943,3,2,5,2,2,2,84,254,413,308
77,0.838221788,1,2,6,1,2,0,83,252,415,308
78,0.849005937,0,1,6,2,1,0,83,250,414,308
79,0.859777927,0,0,5,2,2,1,83,253,414,308
80,0.870737791,2,2,5,1,1,2,83,251,414,308
81,0.881665945,1,2,5,1,3,2,84,251,412,308
82,0.89248681,0,1,5,1,2,1,83,253,414,308
83,0.90326786,4,0,6,1,4,0,83,251,409,308
84,0.914026975,1,1,5,1,2,3,83,251,413,308
85,0.924883842,1,2,4,1,3,1,83,252,414,307
86,0.935976982,1,2,5,2,1,1,83,250,414,307
87,0.946970939,2,2,5,2,3,3,83,252,414,308
88,0.957767963,1,1,5,2,3,0,83,252,415,308
89,0.968612909,1,0,4,1,2,2,83,253,413,308
90,0.979460001,1,2,5,2,2,2,83,251,413,309
91,0.990264892,4,1,5,0,1,1,84,253,415,309
92,1.001093864,2,1,5,1,2,1,84,252,414,309
93,1.01188898,1,2,5,2,2,0,83,250,414,308
94,1.022680997,3,1,5,2,2,3,83,252,414,308
95,1.033496856,0,1,6,1,2,0,83,253,412,308
96,1.044297933,1,1,5,1,1,0,83,251,413,308
97,1.055218935,2,1,5,1,2,0,84,254,414,308
98,1.06613183,0,1,6,1,2,0,83,253,413,309
99,1.077036857,5,0,6,0,4,1,84,253,415,308
100,1.087826967,2,2,4,2,1,1,84,253,413,308
101,1.098627805,1,2,5,1,1,1,84,252,412,308
102,1.109421968,3,1,4,1,2,0,83,252,413,309
103,1.120198965,1,2,5,1,1,0,84,251,415,307
104,1.131148815,3,2,4,2,2,3,84,251,414,309
105,1.141968011,1,2,5,1,2,0,84,252,411,309
106,1.152751922,1,2,6,0,2,1,84,252,415,309
107,1.163547992,1,2,5,2,2,1,83,250,413,309
108,1.174346923,3,4,4,2,1,0,84,254,415,311
109,1.185265779,2,3,5,1,2,2,81,251,414,308
110,1.19619584,2,2,5,2,2,0,82,253,412,306
111,1.207146883,1,2,6,2,1,2,80,251,413,305
112,1.218060016,3,2,5,2,2,0,80,251,413,305
113,1.228959798,1,3,6,1,2,2,75,254,413,304
114,1.23979187,1,1,4,0,2,1,72,256,415,304
115,1.250591993,0,1,5,0,1,0,65,262,414,303
116,1.261493921,3,2,7,1,5,0,43,263,407,305
117,1.27230978,1,1,5,1,3,2,49,266,415,303
118,1.283101797,2,1,6,0,1,2,51,272,414,299
119,1.293903827,1,1,5,1,1,0,50,279,415,294
120,1.30469799,0,1,6,2,3,0,53,284,418,290
121,1.315715789,0,0,6,0,2,0,51,282,418,284
122,1.326668977,1,2,7,2,21,2,57,274,419,272
123,1.337486982,1,2,6,2,25,2,62,274,419,260
124,1.348259925,3,0,5,0,23,1,58,278,419,252
125,1.359032869,2,1,7,0,22,2,61,284,418,243
126,1.369815826,2,2,8,2,30,5,63,282,415,230
127,1.38060379,3,2,7,2,67,11,62,282,414,207
128,1.391602993,2,1,8,0,83,22,59,288,416,189
129,1.402416944,2,2,5,3,117,29,56,285,418,166
130,1.413177013,5,1,6,14,150,33,52,297,418,144
131,1.423963785,4,2,6,25,152,50,48,295,415,137
132,1.434967994,10,2,18,25,170,39,50,313,414,132
133,1.445932865,7,1,27,35,188,41,41,328,404,121
134,1.456782817,24,2,32,44,228,52,39,354,404,119
135,1.467597007,24,2,36,62,220,55,41,361,401,119
136,1.478410959,22,2,42,67,224,67,43,362,397,118
137,1.489241838,22,2,50,75,228,85,34,365,395,120
138,1.500041961,28,1,49,83,216,94,39,367,389,123
139,1.510994911,29,2,58,88,213,97,41,367,383,122
140,1.521797895,30,2,61,95,213,104,43,365,382,120
141,1.532599926,38,0,65,96,224,105,44,363,379,122
142,1.543391943,31,1,70,104,210,109,47,360,382,121
143,1.554147005,32,2,74,104,224,113,49,356,380,122
144,1.56497693,35,1,81,115,227,116,48,349,378,123
145,1.57592678,33,1,90,117,224,126,45,342,380,123
146,1.586769819,36,2,101,136,221,140,44,339,382,120
147,1.597538948,35,1,110,137,205,149,40,337,380,118
148,1.608317852,39,1,113,135,206,155,39,340,380,116
149,1.619117975,39,4,117,130,211,155,44,344,376,117
150,1.629901886,36,5,121,130,203,161,45,342,379,117
151,1.640702962,38,3,115,131,201,172,46,340,377,116
152,1.65158391,48,5,119,147,197,181,45,338,378,117
153,1.662386894,58,5,124,145,190,184,48,336,375,117
154,1.673205852,62,5,124,145,193,187,48,337,375,116
155,1.683997869,69,3,123,154,189,193,46,340,376,115
156,1.694856882,64,3,125,152,188,195,44,343,375,112
157,1.705813884,73,5,137,165,198,206,46,346,374,110
158,1.717149972,88,5,140,172,186,219,38,364,373,107
159,1.728214979,96,8,143,173,188,227,34,375,370,102
160,1.739123821,97,7,147,166,180,228,27,380,372,100
161,1.749960899,104,7,155,173,183,241,27,385,374,99
162,1.760751962,112,11,154,177,186,250,27,394,372,96
163,1.771685838,112,12,156,179,189,256,23,394,373,99
