,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,488,10,2,2,1,1,1,1,0,0
1,488,10,2,2,1,1,1,4,0,0
2,488,10,2,2,2,1,1,2,0,0
3,489,9,2,2,1,1,1,2,0,0
4,487,10,2,2,1,1,1,4,0,0
5,488,9,2,2,2,1,1,4,0,0
6,487,9,2,2,2,1,1,2,0,0
7,487,10,2,2,1,1,1,2,0,0
8,488,8,2,2,1,1,1,4,0,0
9,490,9,2,2,1,1,1,0,0,0
10,488,10,2,2,2,1,1,4,0,0
11,489,9,2,2,1,1,1,2,0,0
12,489,9,2,2,2,1,1,2,0,0
13,487,11,2,2,2,1,1,4,0,0
14,488,9,2,2,2,1,1,1,0,0
15,488,10,2,2,2,1,1,2,0,0
16,490,10,2,2,1,1,1,2,0,0
17,487,10,2,2,1,1,1,4,0,0
18,488,9,2,2,1,1,1,1,0,0
19,488,10,2,2,2,1,1,4,0,0
20,487,10,2,2,1,1,1,2,0,0
21,488,9,2,2,1,1,1,2,0,0
22,489,10,2,2,2,1,1,4,0,0
23,488,10,2,2,1,1,1,1,0,0
24,488,9,2,2,1,1,1,4,0,0
25,488,10,2,2,1,1,1,2,0,0
26,490,10,2,2,2,1,1,4,0,0
27,489,10,2,2,2,1,1,0,0,0
28,489,10,2,2,1,1,1,4,0,0
29,488,8,2,2,1,1,1,2,0,0
30,488,9,2,2,2,1,1,2,0,0
31,489,8,2,2,1,1,1,4,0,0
32,489,9,2,2,1,1,1,0,0,0
33,489,9,2,2,2,1,1,4,0,0
34,488,8,2,2,2,1,1,2,0,0
35,489,9,2,2,2,1,1,4,0,0
36,487,10,2,2,1,1,1,0,0,0
37,487,10,2,2,2,1,1,4,0,0
38,489,10,2,2,1,1,1,2,0,0
39,489,9,2,2,1,1,1,2,0,0
40,489,9,2,2,1,1,1,4,0,0
41,489,10,2,2,2,1,1,0,0,0
42,487,10,2,2,2,1,1,4,0,0
43,488,11,2,2,2,1,1,2,0,0
44,488,10,2,2,2,1,1,2,0,0
45,489,10,2,2,1,1,1,0,0,0
46,489,10,2,2,1,1,1,4,0,0
47,489,10,2,2,1,1,1,2,0,0
48,488,9,2,2,1,1,1,2,0,0
49,488,9,2,2,1,1,1,4,0,0
50,487,11,2,2,1,1,1,1,0,0
51,488,11,2,2,2,1,1,4,0,0
52,489,10,2,2,1,1,1,2,0,0
53,487,10,2,2,2,1,1,2,0,0
54,487,11,2,2,2,1,1,4,0,0
55,489,10,2,2,1,1,1,4,0,0
56,489,10,2,2,1,1,1,2,0,0
57,489,11,2,2,2,1,1,2,0,0
58,488,10,2,2,1,1,1,4,0,0
59,489,10,2,2,2,1,1,1,0,0
60,488,9,2,2,1,1,1,4,0,0
61,489,10,2,2,1,1,1,2,0,0
62,486,10,2,2,2,1,1,2,0,0
63,488,10,2,2,1,1,1,4,0,0
64,489,9,2,2,2,1,1,0,0,0
65,489,9,2,2,2,1,1,2,0,0
66,488,10,2,2,1,1,1,2,0,0
67,487,10,2,2,1,1,1,5,0,0
68,488,10,2,2,2,1,1,1,0,0
69,489,8,2,2,1,1,1,4,0,0
70,487,10,2,2,2,1,1,2,0,0
71,489,9,2,2,1,1,1,2,0,0
72,489,9,2,2,1,1,1,4,0,0
73,486,10,2,2,2,1,1,0,0,0
74,487,9,2,2,1,1,1,4,0,0
75,487,9,2,2,1,1,1,2,0,0
76,487,9,2,2,1,1,1,4,0,0
77,488,10,2,2,1,1,1,0,0,0
78,489,9,2,2,1,1,1,4,0,0
79,488,10,2,2,2,1,1,2,0,0
80,488,8,2,2,1,1,1,2,0,0
81,488,8,2,2,1,1,1,4,0,0
82,489,9,2,2,1,1,1,0,0,0
83,489,9,2,2,2,1,1,4,0,0
84,486,8,2,2,1,1,1,2,0,0
85,489,9,2,2,1,1,1,4,0,0
86,487,10,2,2,1,1,1,0,0,0
87,489,10,2,2,1,1,1,4,0,0
88,489,9,2,2,1,1,1,2,0,0
89,486,9,2,2,1,1,1,2,0,0
90,486,10,2,2,1,1,1,4,0,0
91,488,8,2,2,1,1,1,0,0,0
92,488,8,2,2,1,1,1,4,0,0
93,488,10,2,2,1,1,1,2,0,0
94,488,9,2,2,1,1,1,4,0,0
95,486,9,2,2,1,1,1,0,0,0
96,489,10,2,2,1,1,1,4,0,0
97,489,9,2,2,2,1,1,2,0,0
98,489,10,2,2,1,1,1,2,0,0
99,488,9,2,2,1,1,1,4,0,0
100,487,10,2,2,1,1,1,0,0,0
101,487,9,2,2,2,1,1,4,0,0
102,488,9,2,2,1,1,1,2,0,0
103,488,9,2,2,2,1,1,2,0,0
104,489,9,2,2,1,1,1,0,0,0
105,488,9,2,2,2,1,1,4,0,0
106,489,9,2,2,1,1,1,2,0,0
107,486,9,2,2,2,1,1,2,0,0
108,489,10,2,2,1,1,1,4,0,0
109,489,10,2,2,2,1,1,1,0,0
110,488,10,2,2,1,1,1,4,0,0
111,489,9,2,2,1,1,1,2,0,0
112,488,8,2,2,2,1,1,2,0,0
113,488,8,2,2,2,1,1,4,0,0
114,487,10,2,2,1,1,1,4,0,0
115,489,10,2,2,1,1,1,2,0,0
116,489,10,2,2,1,1,1,2,0,0
117,489,10,2,2,2,1,1,4,0,0
118,489,10,2,2,2,1,1,0,0,0
119,487,10,2,2,2,1,1,4,0,0
120,489,9,2,2,1,1,1,2,0,0
121,488,9,2,2,2,1,1,2,0,0
122,487,10,2,2,1,1,1,4,0,0
123,487,10,2,2,1,1,1,1,0,0
124,488,9,2,2,1,1,1,2,0,0
125,488,9,2,2,2,1,1,2,0,0
126,488,9,2,2,1,1,2,4,0,0
127,488,10,2,2,2,1,1,0,0,0
128,488,8,2,2,2,1,1,4,0,0
129,487,10,2,2,2,1,1,2,0,0
130,488,9,2,2,1,1,1,2,0,0
131,489,8,2,2,2,1,1,5,0,0
132,487,10,2,2,1,1,1,1,0,0
133,488,8,2,2,2,1,1,4,0,0
134,489,10,2,2,1,1,1,2,0,0
135,487,10,2,2,1,1,1,4,0,0
136,487,10,2,2,1,1,1,1,0,0
137,486,10,2,2,1,1,1,4,0,0
138,487,10,2,2,1,1,1,2,0,0
139,486,10,2,2,1,1,1,2,0,0
140,488,10,2,2,2,1,2,4,0,0
141,487,8,2,2,1,1,1,1,0,0
142,487,10,2,2,1,1,1,4,0,0
143,486,10,2,2,1,1,2,2,0,0
