,Time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,0.000135899,2,0,5,1,2,2,122,264,415,305
1,0.011138916,0,1,5,0,2,1,121,265,415,305
2,0.022168875,1,2,5,2,2,1,122,265,416,305
3,0.033506871,0,2,5,1,2,0,121,265,416,305
4,0.045416832,3,1,4,2,2,2,121,266,418,305
5,0.056298018,3,5,1,1,2,0,121,267,415,306
6,0.067104817,0,2,5,2,3,0,121,265,417,305
7,0.078136921,0,1,3,3,0,1,122,264,416,306
8,0.089351893,2,2,5,1,1,1,121,266,416,305
9,0.100194931,0,2,4,3,1,0,121,265,417,305
10,0.111109972,1,1,4,1,3,2,121,266,416,305
11,0.121990919,2,2,5,1,2,1,121,266,416,305
12,0.132863999,2,1,4,1,2,2,121,267,416,305
13,0.143750906,1,1,3,1,2,2,121,266,417,305
14,0.154688835,1,1,5,0,2,2,121,268,416,305
15,0.165522814,0,0,3,5,2,1,122,262,415,304
16,0.176355839,3,1,4,2,2,1,120,265,416,305
17,0.18719101,0,2,5,1,2,0,120,267,416,305
18,0.198124886,2,2,5,2,2,1,121,266,416,305
19,0.209002972,2,2,4,2,2,1,120,267,417,305
20,0.219898939,0,2,4,1,3,1,121,267,415,305
21,0.230747938,1,1,4,1,2,1,120,266,416,305
22,0.241612912,2,2,4,2,2,1,120,266,415,305
23,0.252457857,1,2,4,1,2,1,119,268,417,305
24,0.263351918,0,0,4,1,5,2,120,267,416,305
25,0.274169922,2,1,4,2,2,1,120,266,416,305
26,0.285043955,0,2,5,1,3,1,120,266,415,305
27,0.295876026,1,1,4,0,2,1,120,265,416,305
28,0.306732893,1,2,4,2,1,0,120,265,416,305
29,0.317548991,3,1,4,1,2,1,120,267,417,305
30,0.328521014,2,2,4,1,3,1,120,266,416,305
31,0.339370966,1,1,4,1,2,1,120,266,414,305
32,0.350178004,1,0,3,1,5,3,121,269,416,305
33,0.361040831,1,2,6,2,2,1,121,268,416,305
34,0.371882916,1,1,4,1,2,1,121,266,416,305
35,0.382750035,2,2,5,2,2,1,121,268,416,305
36,0.393663884,1,2,4,1,3,1,121,268,417,305
37,0.404549837,2,1,4,2,3,0,121,267,416,305
38,0.415446997,2,2,4,1,2,1,122,268,416,305
39,0.426281929,1,1,5,0,2,0,121,266,415,305
40,0.437165976,2,1,8,2,1,2,120,266,418,301
41,0.448122025,0,2,5,2,3,1,121,267,416,305
42,0.458987952,1,2,5,1,2,1,121,267,416,305
43,0.46982193,0,0,4,1,2,1,120,265,416,305
44,0.480633974,0,2,4,1,2,3,120,266,417,305
45,0.491447926,1,2,4,1,2,1,121,266,417,305
46,0.502290964,1,2,4,2,3,0,122,266,416,305
47,0.513198853,2,1,5,1,2,0,121,266,417,305
48,0.524049998,0,0,4,4,2,2,122,266,417,305
49,0.535266877,1,1,4,2,2,0,121,268,416,306
50,0.546119929,1,0,5,0,3,1,121,267,415,305
51,0.556975842,1,2,5,1,2,1,121,267,415,305
52,0.567855835,1,2,5,0,2,1,121,266,417,305
53,0.578787804,2,2,4,1,2,0,121,268,415,305
54,0.589633942,1,1,4,2,2,2,120,268,416,305
55,0.600484848,1,2,4,1,2,0,122,265,417,305
56,0.611477852,1,1,6,1,2,2,121,268,418,305
57,0.622371912,4,4,5,2,2,1,120,267,418,305
58,0.633347988,1,2,5,0,2,2,120,267,418,305
59,0.644290924,2,2,5,2,3,2,119,268,417,305
60,0.655274868,0,2,5,1,2,1,120,268,416,305
61,0.666476965,2,1,4,1,4,1,119,268,417,305
62,0.677443028,1,1,5,2,3,0,119,267,416,305
63,0.688390971,2,2,4,1,1,1,119,267,417,305
64,0.699317932,2,1,3,1,2,1,119,267,417,305
65,0.710179806,1,0,8,0,0,1,119,269,419,306
66,0.721197844,2,1,5,1,1,0,119,267,416,306
67,0.732069016,2,2,4,2,2,1,119,265,416,306
68,0.742935896,1,2,4,2,2,1,120,268,416,305
69,0.753794909,2,1,4,0,2,0,119,264,416,306
70,0.764665842,2,1,4,1,2,2,120,266,416,305
71,0.775512934,0,2,3,1,2,0,119,266,418,305
72,0.786319018,2,1,3,1,2,1,120,264,416,305
73,0.797186852,4,4,3,0,1,1,120,267,415,305
74,0.808086872,0,2,5,2,2,0,119,266,416,305
75,0.818949938,3,1,4,2,2,0,119,265,415,305
76,0.829777003,2,2,5,1,3,0,119,267,416,306
77,0.84056902,1,1,4,1,1,1,119,267,416,305
78,0.851356984,1,1,4,1,2,0,119,266,415,305
79,0.862241984,1,1,3,0,3,1,119,267,416,305
80,0.873080969,1,2,4,2,2,0,120,265,418,307
81,0.883860827,1,1,3,1,2,3,120,263,415,305
82,0.894722939,2,2,4,0,2,1,120,264,416,305
83,0.905587912,2,1,4,1,2,1,120,267,416,305
84,0.916421891,1,2,4,1,1,0,120,264,417,305
85,0.927301884,1,2,4,1,2,2,120,265,415,305
86,0.938273907,1,1,3,2,2,1,120,265,416,305
87,0.949162007,1,2,4,0,0,2,121,265,417,305
88,0.960098029,0,1,4,0,2,2,120,266,417,305
89,0.970959902,1,2,4,1,2,2,121,266,415,304
90,0.981786967,0,1,1,1,2,1,121,267,416,305
91,0.992607832,0,1,4,1,1,2,120,267,416,305
92,1.003470898,1,2,5,1,2,1,120,266,416,305
93,1.014376879,1,2,5,1,2,1,120,266,417,305
94,1.025207997,1,1,5,2,1,0,120,266,414,305
95,1.035988808,2,2,3,2,1,2,120,266,416,305
96,1.046821833,0,2,5,1,3,2,120,266,416,305
97,1.057636023,2,3,4,2,1,1,120,266,415,305
98,1.068552018,0,0,3,0,0,1,120,267,419,304
99,1.079447031,1,1,4,2,2,1,119,266,415,305
100,1.09025383,1,1,4,1,2,1,119,264,415,305
101,1.101059914,1,2,4,1,2,1,120,265,417,305
102,1.111933947,1,2,5,0,2,0,119,264,416,305
103,1.122817994,0,2,4,1,2,0,119,264,416,305
104,1.133649826,1,2,5,1,3,2,119,264,416,305
105,1.14454484,1,1,5,1,2,1,119,265,414,305
106,1.155380011,1,4,4,4,1,2,119,262,419,307
107,1.166211844,1,2,4,1,2,0,119,265,415,306
108,1.177044869,2,1,5,0,1,1,119,264,416,305
109,1.187953949,2,1,4,2,2,1,119,264,415,305
110,1.198803902,3,0,5,1,3,1,119,262,416,305
111,1.20972085,3,2,4,2,2,1,119,265,417,305
112,1.22061801,1,1,4,1,2,1,119,262,415,305
113,1.231518031,0,2,5,2,2,2,119,262,416,305
114,1.242388964,2,2,3,1,3,0,119,263,414,305
115,1.253295899,0,3,4,3,2,2,119,263,416,305
116,1.264139891,1,2,4,0,3,1,120,262,416,305
117,1.274986983,1,1,4,1,3,2,120,262,415,305
118,1.285809994,1,1,5,1,1,0,119,264,415,305
119,1.296627999,1,2,4,1,2,1,120,261,415,305
120,1.307469845,3,2,4,1,2,0,120,264,415,305
121,1.318403006,1,3,4,1,2,1,120,263,417,305
