,Time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,0.00014019,0,3,4,1,2,1,84,234,425,321
1,0.011198044,1,2,3,1,2,0,84,235,427,321
2,0.023199081,0,1,3,1,2,0,85,235,427,321
3,0.034460067,3,3,2,3,2,4,85,237,426,321
4,0.046010017,1,2,4,1,2,2,85,237,426,321
5,0.057219028,2,2,4,2,2,1,84,236,426,321
6,0.068108082,1,1,3,1,2,0,85,237,427,321
7,0.078970194,1,1,4,0,2,0,84,236,426,321
8,0.089807033,1,2,3,2,3,1,84,236,426,321
9,0.100814104,2,1,4,2,2,1,84,237,426,321
10,0.111694097,0,2,4,2,2,2,84,237,428,321
11,0.12255311,4,0,4,0,4,0,84,236,420,322
12,0.133463144,1,2,3,0,3,0,84,237,426,321
13,0.14429307,1,2,4,1,3,0,84,235,426,321
14,0.155124187,1,1,3,1,1,1,84,238,427,321
15,0.165955066,1,2,4,2,2,1,84,236,426,321
16,0.176961183,0,2,3,2,2,2,84,237,426,321
17,0.187790155,2,1,3,0,2,1,84,237,427,321
18,0.198610067,2,1,3,0,1,0,83,236,426,321
19,0.209452152,2,1,5,2,3,1,84,236,426,321
20,0.220288992,0,0,4,0,0,1,84,237,427,319
21,0.231185198,0,1,5,1,2,1,84,237,426,321
22,0.242079019,1,1,4,2,2,2,84,237,426,321
23,0.25299716,2,2,3,1,2,2,84,236,427,321
24,0.263836145,0,3,4,1,2,0,84,237,427,321
25,0.274641037,1,2,3,2,2,1,83,236,425,321
26,0.285500049,0,2,3,2,1,1,83,237,427,321
27,0.296425104,2,1,5,1,1,1,84,237,426,321
28,0.307234049,2,5,3,1,1,0,83,238,425,321
29,0.318143129,2,1,3,1,3,2,83,236,427,321
30,0.32894516,2,1,4,2,2,0,83,237,428,321
31,0.339718103,2,1,3,2,1,1,83,236,428,320
32,0.350618124,1,1,3,0,1,1,83,238,426,321
33,0.361530065,2,1,4,1,2,2,82,238,427,321
34,0.37246418,1,2,4,1,3,1,84,237,428,321
35,0.383319139,0,2,4,1,2,1,84,238,426,320
36,0.394155025,2,4,2,0,2,1,83,237,426,321
37,0.404967069,2,1,4,1,2,0,83,237,426,321
38,0.415767193,1,2,4,1,2,1,83,236,428,321
39,0.426771164,2,1,3,2,2,1,83,236,428,321
40,0.437662124,2,1,4,1,2,2,83,235,428,321
41,0.448486089,1,1,4,1,3,2,83,236,427,320
42,0.459275007,2,1,4,1,2,2,84,236,427,321
43,0.470081091,1,2,4,1,1,1,83,237,427,321
44,0.481094122,1,2,4,1,2,2,83,237,428,321
45,0.491953134,1,1,1,1,2,3,83,237,428,316
46,0.502824068,1,1,4,1,2,2,84,237,427,321
47,0.513706207,0,2,3,1,3,1,83,237,426,321
48,0.524582147,1,1,4,2,2,1,83,236,428,321
49,0.535636186,0,1,3,0,2,1,83,235,427,321
50,0.546582222,1,2,4,1,2,0,84,235,428,321
51,0.557462215,1,2,3,2,2,1,83,237,427,321
52,0.568285227,2,1,3,2,2,0,83,235,427,321
53,0.579112053,4,0,3,1,6,1,83,235,422,322
54,0.589872122,0,2,4,1,1,0,83,235,426,321
55,0.600940227,1,1,4,1,1,2,84,235,427,321
56,0.612315178,2,2,3,0,2,2,84,236,427,321
57,0.623127222,1,2,3,1,3,1,84,236,426,320
